Mobility_Surrogate_Key,Accurate_Episode_Date,Metro_Area,Province,Subregion,Retail_And_Recreation,Grocery_And_Pharmacy,Parks,Transit_Stations,Workplaces,Residential
231,2020-10-17,,Ontario,Toronto Division,-31.0,-5.0,91.0,-37.0,-8.0,6.0
232,2020-10-18,,Ontario,Toronto Division,-35.0,-12.0,39.0,-42.0,-15.0,7.0
233,2020-10-19,,Ontario,Toronto Division,-40.0,-13.0,-18.0,-57.0,-49.0,18.0
234,2020-10-20,,Ontario,Toronto Division,-36.0,-7.0,25.0,-54.0,-48.0,17.0
235,2020-10-21,,Ontario,Toronto Division,-38.0,-12.0,12.0,-55.0,-48.0,19.0
236,2020-10-22,,Ontario,Toronto Division,-38.0,-7.0,5.0,-54.0,-46.0,19.0
237,2020-10-23,,Ontario,Toronto Division,-35.0,-8.0,69.0,-50.0,-45.0,16.0
238,2020-10-24,,Ontario,Toronto Division,-33.0,-5.0,49.0,-38.0,-9.0,7.0
239,2020-10-25,,Ontario,Toronto Division,-34.0,-11.0,30.0,-41.0,-15.0,6.0
240,2020-10-26,,Ontario,Toronto Division,-39.0,-11.0,0.0,-56.0,-48.0,17.0
241,2020-10-27,,Ontario,Toronto Division,-41.0,-14.0,-18.0,-56.0,-48.0,18.0
242,2020-10-28,,Ontario,Toronto Division,-34.0,-6.0,25.0,-54.0,-46.0,17.0
243,2020-10-29,,Ontario,Toronto Division,-37.0,-7.0,-8.0,-55.0,-46.0,18.0
244,2020-10-30,,Ontario,Toronto Division,-37.0,-6.0,-10.0,-53.0,-45.0,17.0
245,2020-10-31,,Ontario,Toronto Division,-31.0,-2.0,47.0,-36.0,-8.0,6.0
